,tenure,Partner,Dependents,gender,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn
1207,9,0,1,0,1,1,69.4,571.45,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,No
1208,1,0,0,0,1,1,80.25,80.25,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Yes
1209,56,1,0,1,1,1,93.15,5253.95,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,No
1210,17,1,1,1,1,1,69.0,1149.65,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Yes
1211,11,1,1,0,1,1,66.35,740.8,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,Yes
1212,7,0,0,1,1,1,69.55,521.35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,No
1213,69,1,1,0,1,0,20.2,1412.65,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,No
1214,19,0,0,1,1,1,86.0,1532.45,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Yes
1215,3,1,1,0,1,1,80.3,250.05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Yes
1216,54,1,1,1,1,0,20.4,1090.6,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,No
1217,62,1,0,1,1,1,23.75,1446.8,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,No
1218,24,0,0,1,1,1,90.55,2282.55,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,Yes
1219,62,1,1,0,1,1,70.45,4300.45,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,No
1220,17,0,0,1,1,0,65.75,1111.2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
1221,9,0,0,1,0,1,24.6,190.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,No
1222,64,1,1,1,1,0,69.25,4447.75,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,No
1223,2,0,0,0,1,1,75.9,143.35,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Yes
1224,1,1,1,1,1,1,45.85,45.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Yes
1225,16,1,0,0,0,1,49.95,810.2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,Yes
1226,72,1,0,0,1,0,24.65,1830.05,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,No
1227,30,0,0,1,1,0,90.4,2820.65,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,No
1228,49,1,0,0,1,1,100.85,4847.35,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,No
1229,61,1,0,1,1,0,75.35,4729.3,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,No
1230,47,1,1,1,1,0,87.2,4017.45,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,No
1231,20,0,0,1,1,0,64.4,1398.6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,No
1232,34,1,1,1,1,0,78.3,2564.3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Yes
1233,70,1,1,0,1,0,24.7,1685.9,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,No
1234,54,0,1,1,1,1,105.85,5826.65,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,No
1235,61,1,0,1,1,1,98.3,6066.55,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,No
1236,3,0,0,1,1,1,76.95,228.4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Yes
1237,13,0,0,1,1,0,19.45,270.2,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,No
1238,16,0,0,0,1,1,96.15,1529.2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,Yes
1239,3,1,1,0,1,1,58.7,168.6,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,No
1240,25,0,0,1,1,1,20.15,536.35,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,No
1241,30,0,0,1,1,1,64.5,1888.45,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,No
1242,21,1,0,0,0,0,28.5,629.35,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,No
1243,1,0,0,1,1,0,45.3,45.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Yes
1244,15,0,0,0,1,0,19.4,289.3,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,Yes
1245,23,1,0,1,1,1,90.45,2117.25,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,No
1246,45,1,1,0,1,1,105.15,4730.9,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,No
1247,24,1,1,0,1,0,83.15,2033.05,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,No
1248,11,0,0,0,1,0,90.15,987.95,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,Yes
1249,1,0,0,1,1,0,45.05,45.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Yes
1250,56,1,0,0,1,0,103.2,5744.35,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,No
1251,1,0,0,0,1,0,75.8,75.8,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,Yes
1252,1,0,0,1,1,0,19.45,19.45,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,No
1253,7,0,0,0,1,1,79.3,523.15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Yes
1254,55,1,0,0,1,0,88.8,4805.3,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,No
1255,2,0,0,0,0,1,30.9,59.05,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Yes
1256,72,1,1,0,1,1,85.9,6110.75,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,No
1257,45,0,0,0,0,0,34.2,1596.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,No
1258,47,0,0,0,1,0,20.15,1046.2,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,No
1259,46,0,0,0,1,0,95.25,4424.2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,Yes
1260,2,0,0,1,1,1,50.3,92.75,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,No
1261,2,1,0,0,1,1,80.15,194.55,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,No
1262,12,1,0,0,1,1,51.25,612.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,No
1263,68,1,0,0,1,1,89.6,6127.6,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Yes
1264,69,1,1,1,1,1,95.2,6671.7,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,No
1265,56,0,1,1,1,0,94.8,5264.3,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,No
1266,4,0,0,0,1,1,80.25,303.7,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,No
1267,64,1,0,1,1,1,76.1,4818.8,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,No
1268,59,1,0,1,1,1,110.15,6448.05,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,Yes
1269,62,1,1,1,1,0,115.55,7159.05,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,No
1270,63,1,1,1,1,0,24.65,1574.5,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,No
1271,53,0,0,0,0,1,53.6,2879.2,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,No
1272,5,1,1,1,1,0,19.45,86.05,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,No
1273,49,1,0,1,1,1,88.2,4159.45,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,No
1274,62,1,1,0,1,1,101.15,6638.35,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,No
1275,55,1,0,0,1,0,56.8,3112.05,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,No
1276,71,1,0,0,1,1,99.4,7168.25,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,No
1277,72,1,1,0,1,1,20.1,1326.25,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,No
1278,36,1,1,1,0,0,60.7,2234.55,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,No
1279,25,1,0,1,1,1,20.95,495.15,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,No
1280,72,1,0,0,1,1,114.85,8317.95,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,No
1281,36,0,0,0,1,1,19.25,679.8,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,No
1282,1,0,0,1,1,1,62.8,62.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,No
1283,72,1,0,0,1,1,105.5,7544.0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,No
1284,59,1,1,1,1,0,19.85,1188.25,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,No
1285,7,1,0,1,1,1,89.5,676.7,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,Yes
1286,1,0,0,0,1,0,74.1,74.1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,No
1287,30,1,1,0,1,1,107.5,3242.5,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,No
1288,64,0,0,1,1,0,19.55,1240.15,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,No
1289,63,0,0,1,1,0,68.8,4111.35,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,No
1290,72,1,0,1,1,0,84.45,5899.85,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,No
1291,8,1,0,1,1,0,75.0,632.95,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Yes
1292,62,0,0,0,1,0,84.5,5193.2,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,No
1293,67,1,1,1,1,1,111.2,7530.8,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,No
1294,6,0,0,1,1,0,44.75,270.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Yes
1295,70,1,1,0,1,1,80.6,5460.2,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,No
1296,20,0,0,0,1,0,80.7,1614.2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,No
1297,5,0,0,0,1,0,75.6,402.5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,No
1298,24,1,1,0,0,0,57.6,1367.75,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,No
1299,11,1,0,0,1,1,44.05,483.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Yes
1300,72,1,0,1,1,1,110.6,7962.2,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,No
1301,66,1,1,0,1,1,58.2,3810.8,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,No
1302,45,1,1,0,1,1,81.0,3533.6,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,No
1303,69,1,1,0,1,0,19.7,1396.9,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,No
1304,15,1,0,1,1,1,85.6,1345.55,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Yes
1305,28,0,0,0,1,1,59.55,1646.45,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,No
1306,70,0,0,0,1,0,115.55,8127.6,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,Yes
1307,36,0,0,0,1,1,75.55,2680.15,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,No
1308,16,0,0,1,1,1,86.6,1281.0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Yes
1309,18,0,0,0,1,1,85.2,1553.9,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Yes
1310,34,1,0,0,1,1,97.65,3207.55,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,Yes
1311,42,1,1,1,0,1,45.1,2049.05,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,No
1312,48,0,0,1,1,1,70.95,3629.2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,No
1313,47,1,0,1,1,1,109.55,5124.55,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,Yes
1314,39,1,1,0,1,1,89.55,3474.45,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,Yes
1315,11,1,1,0,1,0,20.9,202.3,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,No
1316,7,0,0,1,1,1,19.95,147.5,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,No
1317,3,0,0,0,1,0,24.6,86.35,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,No
1318,8,0,0,1,1,1,66.7,579.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,No
1319,1,0,1,1,1,1,19.45,19.45,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,Yes
1320,32,1,1,1,1,0,94.8,3131.55,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,No
1321,60,1,1,1,1,1,65.85,3928.3,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,No
1322,10,1,0,0,1,1,19.95,187.75,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,No
1323,71,1,0,0,1,1,24.65,1710.15,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,No
1324,4,1,1,0,1,0,20.35,76.35,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,Yes
1325,1,0,0,0,1,1,69.25,69.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Yes
1326,43,1,1,0,0,1,51.25,2151.6,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,No
1327,59,1,0,1,1,1,99.5,5961.1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,Yes
1328,23,1,0,0,1,0,54.25,1221.55,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,No
1329,72,1,0,0,1,0,19.4,1496.45,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,No
1330,22,1,0,1,1,1,56.25,1292.2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,No
1331,1,0,0,0,0,1,25.15,25.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,No
1332,69,0,0,1,1,0,23.95,1713.1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,No
1333,50,0,0,1,0,1,35.4,1748.9,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,No
1334,1,0,0,0,0,1,25.2,25.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Yes
1335,2,0,0,1,1,1,45.0,96.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Yes
1336,15,1,0,0,1,0,75.35,1114.55,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No
1337,31,0,0,1,1,0,20.4,609.1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,No
1338,1,0,0,1,1,0,20.15,20.15,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,Yes
1339,66,1,0,1,1,1,105.0,7133.25,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,Yes
1341,3,0,1,1,1,1,54.7,169.45,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,Yes
1342,8,0,0,0,1,0,20.0,141.6,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,No
1343,64,1,1,1,1,1,73.05,4688.65,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,No
1344,28,1,0,0,1,0,20.5,563.05,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,No
1345,57,1,0,0,1,1,100.75,5985.0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,No
1346,14,1,1,0,1,1,87.25,1258.6,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,Yes
1347,19,0,0,1,1,1,19.95,373.5,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,No
1348,10,1,0,1,1,1,79.95,857.2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Yes
1349,51,1,0,0,0,1,49.65,2553.35,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,No
1350,67,1,0,0,1,0,65.65,4322.85,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,No
1351,11,1,1,1,1,1,20.45,250.8,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,No
1352,72,1,1,1,0,0,60.95,4549.05,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,No
1353,66,1,1,1,1,1,20.35,1359.5,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,No
1354,18,0,0,0,1,1,88.35,1639.3,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,Yes
1355,9,0,0,0,1,1,19.5,178.85,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,No
1356,9,0,0,0,1,1,75.2,633.85,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,No
1357,48,1,0,1,1,1,111.45,5315.1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,No
1358,10,0,0,1,1,0,70.15,735.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,No
1359,9,0,0,0,1,1,94.75,889.9,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,Yes
1360,13,0,0,0,1,1,95.05,1290.0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,Yes
1361,4,0,0,1,1,0,78.45,330.05,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,Yes
1362,4,0,0,1,1,1,70.2,237.95,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Yes
1363,72,1,0,0,1,0,92.0,6474.4,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,No
1364,51,1,1,0,1,0,85.5,4421.95,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,No
1365,59,1,0,1,0,1,41.05,2452.7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Yes
1366,10,1,0,1,1,1,85.6,813.85,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Yes
1367,61,1,0,1,1,1,82.15,4904.85,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,No
1368,54,0,0,1,1,0,84.4,4484.05,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,No
1369,33,0,0,0,1,1,60.9,2033.85,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,No
1370,27,0,0,0,1,1,20.25,538.2,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,No
1371,1,0,0,0,1,1,79.2,79.2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Yes
1372,23,0,0,1,1,0,95.3,2192.9,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,No
1373,1,0,1,1,1,0,19.85,19.85,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,No
1374,45,1,1,1,1,1,84.35,3858.05,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,No
1375,39,1,1,0,1,1,19.85,854.8,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,No
1376,5,0,0,1,1,1,70.0,347.4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,Yes
1377,72,1,1,1,1,0,82.3,5815.15,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,No
1378,58,1,1,0,1,1,66.8,3970.4,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,No
1379,70,0,0,0,0,1,44.6,3058.15,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,No
1380,61,1,1,1,1,1,98.45,6145.2,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,No
1381,2,0,0,1,1,0,70.7,129.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,No
1382,46,1,1,0,1,0,24.95,1165.9,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,No
1383,1,0,0,0,1,1,49.95,49.95,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes
1384,22,1,0,0,1,1,69.25,1554.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Yes
1385,48,0,0,0,1,1,102.5,4904.25,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,No
1386,64,0,0,1,1,0,86.55,5632.55,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,No
1387,72,1,1,1,1,0,24.3,1643.25,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,No
1388,12,1,1,0,1,1,58.35,740.55,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,No
1389,34,1,0,0,1,1,94.25,3217.55,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,Yes
1390,72,1,1,0,1,0,68.75,4888.2,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,No
1391,29,1,0,1,1,1,85.8,2440.25,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,No
1392,33,1,1,1,1,0,20.1,620.55,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,No
1393,1,0,0,0,1,0,20.35,20.35,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,No
1394,62,1,1,0,1,1,110.8,6840.95,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,No
1395,41,1,0,1,1,1,73.0,3001.2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,Yes
1396,64,0,0,0,1,1,100.05,6254.2,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,Yes
1397,4,0,0,0,1,1,82.85,319.6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,No
1398,24,0,0,0,1,1,84.35,1938.05,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,No
1399,14,1,1,0,1,0,19.55,294.5,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,No
1400,3,0,1,1,1,0,19.95,58.3,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,No
1401,4,0,0,0,1,1,99.8,442.85,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,Yes
1402,18,0,1,0,0,1,35.0,553.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Yes
1403,8,0,0,1,1,1,66.25,546.45,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,No
1404,35,0,0,0,1,0,23.3,797.1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,No
1405,1,0,0,0,1,0,76.0,76.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Yes
1406,66,0,1,1,1,1,25.3,1673.8,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,No
1407,8,0,1,1,0,1,44.55,343.45,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,No
